Time,JointType,TrackingState,Position.X,Position.Y,Position.Z,
00:00.1,ElbowLeft,Tracked,-0.273367316,0.037294757,1.238710403,0
00:00.1,ElbowRight,Tracked,0.106727511,-0.030607231,1.28910625,0.389387337
00:00.1,ElbowLeft,Tracked,-0.273221076,0.037401672,1.238597393,0.3892779
00:00.1,ElbowRight,Tracked,0.106781885,-0.030271729,1.289055347,0.389265905
00:00.1,ElbowLeft,Tracked,-0.273031056,0.03765611,1.238417268,0.389148142
00:00.1,ElbowRight,Tracked,0.106870338,-0.030043649,1.289012194,0.389189123
00:00.1,ElbowLeft,Tracked,-0.272928745,0.037903756,1.238282442,0.389149972
00:00.1,ElbowRight,Tracked,0.108180389,-0.028221393,1.289636254,0.390197285
00:00.2,ElbowLeft,Tracked,-0.272509515,0.038053907,1.238069057,0.389841499
00:00.2,ElbowRight,Tracked,0.108823657,-0.027141204,1.289950132,0.390329395
00:00.2,ElbowLeft,Tracked,-0.271931589,0.038453948,1.237644911,0.389888596
00:00.2,ElbowRight,Tracked,0.109187886,-0.026279353,1.290255785,0.390141459
00:00.2,ElbowLeft,Tracked,-0.271346629,0.038633391,1.237292409,0.389647662
00:00.2,ElbowRight,Tracked,0.109823234,-0.025275338,1.290449858,0.390128831
00:00.3,ElbowLeft,Tracked,-0.270923764,0.038778998,1.237029791,0.389775497
00:00.3,ElbowRight,Tracked,0.11016205,-0.024405807,1.290614486,0.389987225
00:00.3,ElbowLeft,Tracked,-0.270619333,0.038937829,1.236797571,0.389747531
00:00.3,ElbowRight,Tracked,0.111600153,-0.022537135,1.29110384,0.390922086
00:00.3,ElbowLeft,Tracked,-0.270207644,0.039098963,1.236531019,0.390582123
00:00.3,ElbowRight,Tracked,0.111679345,-0.022302773,1.291179895,0.390633262
00:00.4,ElbowLeft,Tracked,-0.270050853,0.03925737,1.236387968,0.390524969
00:00.4,ElbowRight,Tracked,0.112249613,-0.021563124,1.291425467,0.391001158
00:00.4,ElbowLeft,Tracked,-0.269792646,0.03927125,1.236377716,0.390752305
00:00.4,ElbowRight,Tracked,0.113033116,-0.020055955,1.291685581,0.391323704
00:00.4,ElbowLeft,Tracked,-0.269642502,0.039286308,1.236318469,0.391187487
00:00.4,ElbowRight,Tracked,0.113018952,-0.020075116,1.29171288,0.391180404
00:00.5,ElbowLeft,Tracked,-0.269434065,0.039240349,1.236250281,0.3909792
00:00.5,ElbowRight,Tracked,0.113328777,-0.019441657,1.291850686,0.391206309
00:00.5,ElbowLeft,Tracked,-0.269423366,0.039546151,1.236394167,0.391221408
00:00.5,ElbowRight,Tracked,0.11330279,-0.019460628,1.291889787,0.391204389
00:00.5,ElbowLeft,Tracked,-0.26943171,0.03962402,1.236383796,0.391225776
00:00.5,ElbowRight,Tracked,0.113731861,-0.018678956,1.292085409,0.391556164
00:00.6,ElbowLeft,Tracked,-0.269341737,0.039757136,1.236315966,0.391497624
00:00.6,ElbowRight,Tracked,0.113790676,-0.018560437,1.292106628,0.391540526
00:00.6,ElbowLeft,Tracked,-0.26930818,0.039763026,1.236300707,0.391510741
00:00.6,ElbowRight,Tracked,0.114033163,-0.018185221,1.292240858,0.391711481
00:00.6,ElbowLeft,Tracked,-0.269227177,0.039821118,1.236258626,0.391646822
00:00.6,ElbowRight,Tracked,0.112266399,-0.020073596,1.291459084,0.390092061
00:00.7,ElbowLeft,Tracked,-0.269226611,0.039839212,1.23624742,0.390095871
00:00.7,ElbowRight,Tracked,0.112259284,-0.020118022,1.291531086,0.390105936
00:00.7,ElbowLeft,Tracked,-0.269263625,0.039934501,1.236192584,0.390164562
00:00.7,ElbowRight,Tracked,0.112254992,-0.020123607,1.291543245,0.39016295
00:00.7,ElbowLeft,Tracked,-0.269214541,0.039931428,1.236177564,0.390116611
00:00.7,ElbowRight,Tracked,0.11142119,-0.0212222,1.29107821,0.38940648
00:00.8,ElbowLeft,Tracked,-0.269074023,0.03979535,1.236088634,0.389260327
00:00.8,ElbowRight,Tracked,0.111462802,-0.021229692,1.291146994,0.389311898
00:00.8,ElbowLeft,Tracked,-0.269050688,0.039788976,1.236036301,0.389295494
00:00.8,ElbowRight,Tracked,0.111744069,-0.021183245,1.291223526,0.389573983
00:00.8,ElbowLeft,Tracked,-0.268822134,0.039818581,1.235673428,0.389406819
00:00.8,ElbowRight,Tracked,0.112342916,-0.020477541,1.291215181,0.389881141
00:00.9,ElbowLeft,Tracked,-0.268100858,0.039942008,1.23450017,0.389364328
00:00.9,ElbowRight,Tracked,0.112890832,-0.019886848,1.291177511,0.389803131
00:00.9,ElbowLeft,Tracked,-0.267519534,0.039515588,1.233195782,0.389361756
00:00.9,ElbowRight,Tracked,0.112898529,-0.0196246,1.290835619,0.389278583
00:00.9,ElbowLeft,Tracked,-0.266706407,0.039312512,1.230951786,0.388792443
00:00.9,ElbowRight,Tracked,0.113193996,-0.018771987,1.289723873,0.388783081
00:01.0,ElbowLeft,Tracked,-0.265759915,0.039203063,1.22796011,0.388306497
00:01.0,ElbowRight,Tracked,0.112990409,-0.017868228,1.287824392,0.387675989
00:01.0,ElbowLeft,Tracked,-0.264807701,0.040170066,1.225555897,0.387268926
00:01.0,ElbowRight,Tracked,0.113102838,-0.016259894,1.28432548,0.386593559
00:01.0,ElbowLeft,Tracked,-0.26365608,0.041423045,1.221269011,0.38632981
00:01.0,ElbowRight,Tracked,0.113301978,-0.01440338,1.279560208,0.38550205
00:01.1,ElbowLeft,Tracked,-0.262735277,0.04194114,1.214888096,0.38569574
00:01.1,ElbowRight,Tracked,0.11399547,-0.012678737,1.273804665,0.385201959
00:01.1,ElbowLeft,Tracked,-0.260279089,0.041809071,1.207564235,0.383976772
00:01.1,ElbowRight,Tracked,0.114022352,-0.010555638,1.264857292,0.382264471
00:01.1,ElbowLeft,Tracked,-0.258602381,0.039059274,1.197849989,0.381838722
00:01.1,ElbowRight,Tracked,0.114762582,-0.010932712,1.258983612,0.381625358
00:01.2,ElbowLeft,Tracked,-0.258210778,0.038270928,1.192643523,0.382009336
00:01.2,ElbowRight,Tracked,0.114418671,-0.009125132,1.247165442,0.379567823
00:01.2,ElbowLeft,Tracked,-0.257394731,0.037151244,1.186472416,0.379566005
00:01.2,ElbowRight,Tracked,0.113329373,-0.010952824,1.240432024,0.377706238
00:01.2,ElbowLeft,Tracked,-0.255717933,0.034601748,1.177680969,0.377105858
00:01.2,ElbowRight,Tracked,0.1118844,-0.011244096,1.227710843,0.373813196
00:01.3,ElbowLeft,Tracked,-0.252489507,0.02829688,1.163852811,0.372034517
00:01.3,ElbowRight,Tracked,0.111706257,-0.011739724,1.215117335,0.36995883
00:01.3,ElbowLeft,Tracked,-0.250566125,0.023507843,1.160203815,0.368102111
00:01.3,ElbowRight,Tracked,0.111594148,-0.012311734,1.203323722,0.366472962
00:01.3,ElbowLeft,Tracked,-0.246953502,0.019031376,1.149013519,0.363989569
00:01.3,ElbowRight,Tracked,0.112543717,-0.016402654,1.194511294,0.364093214
00:01.4,ElbowLeft,Tracked,-0.245340317,0.01733523,1.142321587,0.36323958
00:01.4,ElbowRight,Tracked,0.113838255,-0.019941024,1.182640314,0.363351574
00:01.4,ElbowLeft,Tracked,-0.242819637,0.01502278,1.126961112,0.362667194
00:01.4,ElbowRight,Tracked,0.116299212,-0.020040499,1.164465427,0.362770389
00:01.4,ElbowLeft,Tracked,-0.240472674,0.012104336,1.11129415,0.36214176
00:01.4,ElbowRight,Tracked,0.119426258,-0.021201216,1.150973082,0.363608194
00:01.5,ElbowLeft,Tracked,-0.236839116,0.012583671,1.094804406,0.362244883
00:01.5,ElbowRight,Tracked,0.123483755,-0.021045856,1.139382958,0.36462414
00:01.5,ElbowLeft,Tracked,-0.233703658,0.013747522,1.077109814,0.364240815
00:01.5,ElbowRight,Tracked,0.128007621,-0.022308141,1.12100184,0.366144193
00:01.5,ElbowLeft,Tracked,-0.229315981,0.012742667,1.057082891,0.364683901
00:01.5,ElbowRight,Tracked,0.130935401,-0.024085127,1.107427359,0.365611693
00:01.6,ElbowLeft,Tracked,-0.226593941,0.013781937,1.039504886,0.365888791
00:01.6,ElbowRight,Tracked,0.133805901,-0.024218582,1.088944912,0.365754565
00:01.6,ElbowLeft,Tracked,-0.212066725,0.017603051,1.014894485,0.356174659
00:01.6,ElbowRight,Tracked,0.140390918,-0.022282077,1.072769761,0.359397775
00:01.6,ElbowLeft,Tracked,-0.206894398,0.021430604,0.99928993,0.357655105
00:01.6,ElbowRight,Tracked,0.144512802,-0.016421212,1.051704407,0.357305272
00:01.7,ElbowLeft,Tracked,-0.204250962,0.024517756,0.986396432,0.357179638
00:01.7,ElbowRight,Tracked,0.151023746,-0.003776487,1.039338708,0.360310375
00:01.7,ElbowLeft,Tracked,-0.202526346,0.035479687,0.967043459,0.362994927
00:01.7,ElbowRight,Tracked,0.154254809,0.013031103,1.026761055,0.362440233
00:01.7,ElbowLeft,Tracked,-0.205255494,0.045874245,0.957752228,0.36754394
00:01.7,ElbowRight,Tracked,0.155767083,0.02944495,1.015776634,0.366024664
00:01.8,ElbowLeft,Tracked,-0.209858805,0.060481079,0.945301235,0.373647311
00:01.8,ElbowRight,Tracked,0.152140677,0.047234111,1.002029181,0.366656743
00:01.8,ElbowLeft,Tracked,-0.209143221,0.084285893,0.931511223,0.369961717
00:01.8,ElbowRight,Tracked,0.151441574,0.063722312,0.991723835,0.366155451
00:01.8,ElbowLeft,Tracked,-0.202420175,0.101552576,0.921081841,0.362821661
00:01.8,ElbowRight,Tracked,0.149837464,0.088844463,0.981751323,0.357669857
00:01.9,ElbowLeft,Tracked,-0.203610644,0.116740912,0.913028121,0.361146307
00:01.9,ElbowRight,Tracked,0.145482004,0.097233571,0.966153145,0.353650224
00:01.9,ElbowLeft,Tracked,-0.202373862,0.140448064,0.90263921,0.356237583
00:01.9,ElbowRight,Tracked,0.14201805,0.116013542,0.955310822,0.349252249
00:01.9,ElbowLeft,Tracked,-0.202768162,0.159094438,0.896114588,0.352473672
00:01.9,ElbowRight,Tracked,0.144928843,0.134914547,0.94760114,0.352319087
00:02.0,ElbowLeft,Tracked,-0.203242823,0.166617185,0.883250117,0.35548505
00:02.0,ElbowRight,Tracked,0.150818527,0.15142855,0.942075372,0.359236057
00:02.0,ElbowLeft,Tracked,-0.202461138,0.173082322,0.869237065,0.361359691
00:02.0,ElbowRight,Tracked,0.164450258,0.162537381,0.940428913,0.373902992
00:02.0,ElbowLeft,Tracked,-0.182783246,0.173317298,0.847534299,0.359606343
00:02.0,ElbowRight,Tracked,0.176608145,0.166915402,0.928736091,0.368506292
00:02.1,ElbowLeft,Tracked,-0.176175222,0.289311171,0.857259989,0.380191611
00:02.1,ElbowRight,Tracked,0.155038327,0.232728928,0.896202624,0.338260985
00:02.1,ElbowLeft,Tracked,-0.173764288,0.292720437,0.860847771,0.336095383
00:02.1,ElbowRight,Tracked,0.152727976,0.243854105,0.898345232,0.332251677
00:02.1,ElbowLeft,Tracked,-0.183824882,0.296225011,0.862442851,0.342490174
00:02.1,ElbowRight,Tracked,0.15177989,0.262741029,0.881101072,0.337786722
00:02.2,ElbowLeft,Tracked,-0.211350679,0.316893876,0.85559237,0.368031296
00:02.2,ElbowRight,Tracked,0.161054909,0.321114361,0.922671497,0.378422177
00:02.2,ElbowLeft,Tracked,-0.200784832,0.307204574,0.860758305,0.367361843
00:02.2,ElbowRight,Tracked,0.123172417,0.304821402,0.893532395,0.325619594
00:02.2,ElbowLeft,Tracked,-0.193582177,0.304503918,0.863640308,0.318162083
00:02.2,ElbowRight,Tracked,0.122310027,0.30622384,0.891631424,0.317134586
00:02.3,ElbowLeft,Tracked,-0.190680385,0.306202233,0.864332736,0.314178639
00:02.3,ElbowRight,Tracked,0.138548195,0.318756998,0.895307064,0.330920669
00:02.3,ElbowLeft,Inferred,-0.23229453,0.402364492,0.893486142,0.380155042
00:02.3,ElbowRight,Tracked,0.23842673,0.36500898,0.893296182,0.472201202
00:02.3,ElbowLeft,Inferred,-0.230226859,0.404526234,0.890780568,0.47032343
00:02.3,ElbowRight,Tracked,0.238238201,0.364849657,0.893290222,0.470148957
00:02.4,ElbowLeft,Tracked,-0.244572461,0.323015511,0.773099184,0.499301628
00:02.4,ElbowRight,Tracked,0.237011567,0.364357799,0.893356502,0.498090537
00:02.4,ElbowLeft,Tracked,-0.227665678,0.324548662,0.820068359,0.472102596
00:02.4,ElbowRight,Inferred,0.201256543,0.368751407,0.834137261,0.431423329
00:02.4,ElbowLeft,Tracked,-0.228349537,0.328091145,0.821197689,0.431719902
00:02.4,ElbowRight,Inferred,0.208667815,0.365897268,0.841155112,0.439103367
00:02.5,ElbowLeft,Tracked,-0.228273332,0.331062913,0.822330952,0.438731521
00:02.5,ElbowRight,Inferred,0.212208584,0.364902675,0.845669866,0.442395923
00:02.5,ElbowLeft,Tracked,-0.228962332,0.334946275,0.823659241,0.442734266
00:02.5,ElbowRight,Inferred,0.214747608,0.365013927,0.849984825,0.445506016
00:02.5,ElbowLeft,Tracked,-0.22901462,0.338381082,0.824404657,0.445296046
00:02.5,ElbowRight,Inferred,0.215597153,0.36552,0.852111161,0.446300123
00:02.6,ElbowLeft,Tracked,-0.229524776,0.34107843,0.825245738,0.446601246
00:02.6,ElbowRight,Inferred,0.216843337,0.366186142,0.854881883,0.448054897
00:02.6,ElbowLeft,Tracked,-0.229471222,0.343071848,0.825486839,0.447878359
00:02.6,ElbowRight,Inferred,0.218677104,0.366245329,0.858420789,0.449953972
00:02.6,ElbowLeft,Tracked,-0.229642779,0.345040232,0.82580781,0.450004421
00:02.6,ElbowRight,Inferred,0.21964696,0.366695881,0.860726893,0.451164692
00:02.7,ElbowLeft,Tracked,-0.229932293,0.346564949,0.826173246,0.451354311
00:02.7,ElbowRight,Inferred,0.219943702,0.367211759,0.862264395,0.451793397
00:02.7,ElbowLeft,Inferred,-0.230370447,0.348312557,0.826748192,0.452107745
00:02.7,ElbowRight,Inferred,0.220576078,0.367309749,0.864283621,0.452904593
00:02.7,ElbowLeft,Inferred,-0.23041591,0.349494725,0.826602817,0.45291389
00:02.7,ElbowRight,Inferred,0.220791787,0.367579937,0.865584195,0.453249389
00:02.8,ElbowLeft,Inferred,-0.230549932,0.350444674,0.826347709,0.453367914
00:02.8,ElbowRight,Inferred,0.221111268,0.367010325,0.866438806,0.453739524
00:02.8,ElbowLeft,Inferred,-0.230575025,0.351029485,0.826556087,0.453725165
00:02.8,ElbowRight,Inferred,0.221236706,0.367079645,0.867794156,0.453973596
00:02.8,ElbowLeft,Inferred,-0.230518907,0.351580888,0.826765537,0.453879602
00:02.8,ElbowRight,Inferred,0.221683204,0.366591394,0.86887747,0.454406734
00:02.9,ElbowLeft,Inferred,-0.230488449,0.35183537,0.82694608,0.45435139
00:02.9,ElbowRight,Inferred,0.221992522,0.36642158,0.86979872,0.454739636
00:02.9,ElbowLeft,Inferred,-0.230215102,0.352074265,0.827168822,0.454439093
00:02.9,ElbowRight,Inferred,0.222822905,0.366231889,0.871721387,0.455443526
00:02.9,ElbowLeft,Inferred,-0.230004162,0.352162331,0.827536404,0.455195142
00:02.9,ElbowRight,Tracked,0.222923249,0.36561799,0.872415781,0.455344323
00:03.0,ElbowLeft,Inferred,-0.229931191,0.351554722,0.8280738,0.455237444
00:03.0,ElbowRight,Tracked,0.223037779,0.365125239,0.873114467,0.455404994
00:03.0,ElbowLeft,Inferred,-0.229406655,0.351876199,0.828551412,0.454826746
00:03.0,ElbowRight,Tracked,0.223632172,0.364668757,0.87472868,0.455565767
00:03.0,ElbowLeft,Inferred,-0.22901693,0.352119505,0.829308093,0.45509529
00:03.0,ElbowRight,Tracked,0.223827213,0.364758283,0.875524163,0.455371806
00:03.1,ElbowLeft,Inferred,-0.228738308,0.352411747,0.830159307,0.455001053
00:03.1,ElbowRight,Tracked,0.223584086,0.364915639,0.876331747,0.454844797
00:03.1,ElbowLeft,Inferred,-0.228315324,0.351690084,0.831026554,0.454357295
00:03.1,ElbowRight,Tracked,0.223280698,0.365163684,0.877191305,0.454149413
00:03.1,ElbowLeft,Inferred,-0.228170574,0.352242947,0.832071781,0.453884311
00:03.1,ElbowRight,Tracked,0.22369796,0.365780145,0.879350305,0.454536782
00:03.2,ElbowLeft,Inferred,-0.228278637,0.351881862,0.833156228,0.454543617
00:03.2,ElbowRight,Tracked,0.22358644,0.3657915,0.880237579,0.454524124
00:03.2,ElbowLeft,Inferred,-0.228638023,0.351806343,0.83433187,0.454763547
00:03.2,ElbowRight,Tracked,0.223637596,0.365999997,0.881359875,0.454935521
00:03.2,ElbowLeft,Inferred,-0.228555724,0.35234639,0.835305214,0.454737563
00:03.2,ElbowRight,Tracked,0.223605365,0.365971863,0.882316709,0.454802577
00:03.3,ElbowLeft,Inferred,-0.228644401,0.352027446,0.836442649,0.454784264
00:03.3,ElbowRight,Tracked,0.223562211,0.36593467,0.883006036,0.454810268
00:03.3,ElbowLeft,Tracked,-0.228894681,0.351846159,0.837619245,0.454945805
00:03.3,ElbowRight,Tracked,0.223884284,0.366024464,0.884817541,0.455453065
00:03.3,ElbowLeft,Tracked,-0.229482442,0.351684868,0.838954031,0.455906212
00:03.3,ElbowRight,Tracked,0.223967254,0.366004527,0.885967851,0.456105228
00:03.4,ElbowLeft,Tracked,-0.22971341,0.351369023,0.839998782,0.456238423
00:03.4,ElbowRight,Tracked,0.224294394,0.365282506,0.886692166,0.456614655
00:03.4,ElbowLeft,Tracked,-0.229225323,0.35102275,0.840366066,0.4561026
00:03.4,ElbowRight,Tracked,0.224102139,0.365089715,0.887660146,0.456004822
00:03.4,ElbowLeft,Tracked,-0.228664905,0.350471675,0.841025174,0.455397084
00:03.4,ElbowRight,Tracked,0.224279329,0.364064783,0.888169527,0.455593944
00:03.5,ElbowLeft,Tracked,-0.228535146,0.349876255,0.841758072,0.455407824
00:03.5,ElbowRight,Tracked,0.224865124,0.362920254,0.889120281,0.456053866
00:03.5,ElbowLeft,Tracked,-0.229411274,0.34946385,0.842234015,0.456887779
00:03.5,ElbowRight,Tracked,0.225226134,0.361608565,0.890263319,0.457328636
00:03.5,ElbowLeft,Tracked,-0.229731768,0.349019498,0.842684865,0.457612158
00:03.5,ElbowRight,Tracked,0.222159207,0.36468783,0.888227344,0.454450292
00:03.6,ElbowLeft,Tracked,-0.230327785,0.348429382,0.84346199,0.45498654
00:03.6,ElbowRight,Tracked,0.215865254,0.366749287,0.879857659,0.448049654
00:03.6,ElbowLeft,Tracked,-0.230681181,0.347627789,0.843975306,0.448393682
00:03.6,ElbowRight,Tracked,0.212632284,0.366181135,0.875747204,0.44483762
00:03.6,ElbowLeft,Tracked,-0.231784075,0.346053481,0.844772995,0.445948903
00:03.6,ElbowRight,Tracked,0.221290767,0.372328639,0.899162591,0.457083608
00:03.7,ElbowLeft,Tracked,-0.232629374,0.344207942,0.845022738,0.458001519
00:03.7,ElbowRight,Tracked,0.22654143,0.381267548,0.943830192,0.471141331
00:03.7,ElbowLeft,Tracked,-0.235216931,0.340768427,0.84558177,0.473828782
00:03.7,ElbowRight,Tracked,0.226000965,0.380897522,0.943953753,0.473296248
00:03.7,ElbowLeft,Tracked,-0.222294509,0.339498788,0.86343807,0.457346108
00:03.7,ElbowRight,Inferred,0.22484684,0.382235318,0.94263196,0.456106862
00:03.8,ElbowLeft,Tracked,-0.211777672,0.337139815,0.851200461,0.448368473
00:03.8,ElbowRight,Inferred,0.222952008,0.384133935,0.939125419,0.446014731
00:03.8,ElbowLeft,Tracked,-0.210456416,0.328411341,0.848689795,0.446235893
00:03.8,ElbowRight,Inferred,0.226204082,0.251044273,0.959564686,0.457111907
00:03.8,ElbowLeft,Tracked,-0.188180223,0.310752422,0.873787344,0.4273607
00:03.8,ElbowRight,Inferred,0.219297901,0.238090873,0.959742129,0.422736735
00:03.9,ElbowLeft,Tracked,-0.191762179,0.29357481,0.890131474,0.420588278
00:03.9,ElbowRight,Inferred,0.215783775,0.265008509,0.879752398,0.408677701
00:03.9,ElbowLeft,Tracked,-0.192833662,0.277474165,0.893082261,0.409024801
00:03.9,ElbowRight,Tracked,0.153044075,0.260296613,0.938054323,0.349211918
00:03.9,ElbowLeft,Tracked,-0.202629402,0.252132297,0.894242406,0.358454687
00:03.9,ElbowRight,Tracked,0.157029018,0.251256138,0.935996056,0.362075012
00:04.0,ElbowLeft,Tracked,-0.197853908,0.239874899,0.896346569,0.357272313
00:04.0,ElbowRight,Tracked,0.166036263,0.216650262,0.932883799,0.366456559
00:04.0,ElbowLeft,Tracked,-0.204557747,0.223868012,0.89547199,0.372547526
00:04.0,ElbowRight,Tracked,0.165369853,0.210896149,0.931895733,0.371942721
00:04.0,ElbowLeft,Tracked,-0.218269259,0.174775019,0.899962485,0.386656743
00:04.0,ElbowRight,Tracked,0.161740541,0.180831447,0.975926399,0.387575341
00:04.1,ElbowLeft,Tracked,-0.216492742,0.171418294,0.909439802,0.384147748
00:04.1,ElbowRight,Tracked,0.154810816,0.177690774,0.977454484,0.377533672
00:04.1,ElbowLeft,Tracked,-0.211649179,0.171528563,0.915903091,0.371644286
00:04.1,ElbowRight,Tracked,0.155436292,0.17013596,0.979126036,0.372492716
00:04.1,ElbowLeft,Tracked,-0.208185464,0.169562027,0.922963262,0.367933919
00:04.1,ElbowRight,Tracked,0.152358353,0.162241936,0.980683327,0.365208206
00:04.2,ElbowLeft,Tracked,-0.205932766,0.167063773,0.929170132,0.362007439
00:04.2,ElbowRight,Tracked,0.149839014,0.152468622,0.983746886,0.360229371
00:04.2,ElbowLeft,Tracked,-0.20552966,0.1585242,0.934582293,0.358804573
00:04.2,ElbowRight,Tracked,0.149089456,0.145481855,0.987756133,0.358820676
00:04.2,ElbowLeft,Tracked,-0.20636861,0.149258733,0.940603375,0.358591807
00:04.2,ElbowRight,Tracked,0.147525311,0.131681845,0.995191097,0.358510353
00:04.3,ElbowLeft,Tracked,-0.207135797,0.14454931,0.945115566,0.358409865
00:04.3,ElbowRight,Tracked,0.152325526,0.125232726,1.000434875,0.364205709
00:04.3,ElbowLeft,Tracked,-0.209477037,0.138291731,0.951253414,0.365363447
00:04.3,ElbowRight,Tracked,0.154830024,0.125818312,1.006312847,0.368655343
00:04.3,ElbowLeft,Tracked,-0.211489379,0.131795064,0.957571268,0.369596223
00:04.3,ElbowRight,Tracked,0.154854476,0.123849355,1.010947227,0.370297108
00:04.4,ElbowLeft,Tracked,-0.213563263,0.121475913,0.966479838,0.371099196
00:04.4,ElbowRight,Tracked,0.152666062,0.103771135,1.018809199,0.370372434
00:04.4,ElbowLeft,Tracked,-0.214671582,0.11108011,0.971929848,0.370389038
00:04.4,ElbowRight,Tracked,0.151569963,0.095589988,1.023202777,0.370137442
00:04.4,ElbowLeft,Tracked,-0.215227872,0.090427339,0.977853477,0.369626654
00:04.4,ElbowRight,Tracked,0.151649401,0.088137463,1.029480219,0.370498984
00:04.5,ElbowLeft,Tracked,-0.216481894,0.081221595,0.984582484,0.370923558
00:04.5,ElbowRight,Tracked,0.151481315,0.079865366,1.037348866,0.371729813
00:04.5,ElbowLeft,Tracked,-0.210658655,0.072037533,0.990909994,0.365189268
00:04.5,ElbowRight,Tracked,0.152988404,0.061166435,1.048410773,0.36832554
00:04.5,ElbowLeft,Tracked,-0.208559036,0.06391573,0.998975337,0.364921872
00:04.5,ElbowRight,Tracked,0.15293625,0.057872888,1.054717779,0.365817684
00:04.6,ElbowLeft,Tracked,-0.207580715,0.057319812,1.008100986,0.363518794
00:04.6,ElbowRight,Tracked,0.150401339,0.04313603,1.067017674,0.363075071
00:04.6,ElbowLeft,Tracked,-0.206817254,0.051650245,1.018732786,0.360567671
00:04.6,ElbowRight,Tracked,0.148668826,0.035691783,1.077819943,0.360716395
00:04.6,ElbowLeft,Tracked,-0.206156552,0.044096723,1.03434813,0.35757725
00:04.6,ElbowRight,Tracked,0.149103239,0.026591813,1.096725106,0.361118856
00:04.7,ElbowLeft,Tracked,-0.207769945,0.039071076,1.04545486,0.360753157
00:04.7,ElbowRight,Tracked,0.143237531,0.00232859,1.112550259,0.359246505
00:04.7,ElbowLeft,Tracked,-0.21193704,0.032024756,1.063321948,0.359797533
00:04.7,ElbowRight,Tracked,0.141470686,0.000230864,1.121371627,0.359551995
00:04.7,ElbowLeft,Tracked,-0.213781029,0.029095568,1.079774976,0.358841515
00:04.7,ElbowRight,Tracked,0.13556686,-0.002522171,1.136622906,0.355352383
00:04.8,ElbowLeft,Tracked,-0.228449941,0.024395503,1.104736567,0.36640078
00:04.8,ElbowRight,Tracked,0.131795675,-0.008842825,1.156027675,0.365393579
00:04.8,ElbowLeft,Tracked,-0.232521892,0.023587281,1.120800734,0.367450593
00:04.8,ElbowRight,Tracked,0.132017061,-0.009401628,1.177520871,0.370397206
00:04.8,ElbowLeft,Tracked,-0.235536173,0.019437818,1.144871116,0.37012579
00:04.8,ElbowRight,Tracked,0.129479766,-0.010901858,1.196247101,0.369860276
00:04.9,ElbowLeft,Tracked,-0.237862691,0.018649306,1.160995364,0.370211341
00:04.9,ElbowRight,Tracked,0.128699958,-0.011379017,1.211519957,0.371244678
00:04.9,ElbowLeft,Tracked,-0.241523981,0.015041927,1.178129196,0.372664426
00:04.9,ElbowRight,Tracked,0.127257288,-0.01316087,1.227739692,0.373170501
00:04.9,ElbowLeft,Tracked,-0.242212743,0.008632938,1.192072988,0.371826824
00:04.9,ElbowRight,Tracked,0.12646693,-0.013871713,1.244349837,0.373046953
00:05.0,ElbowLeft,Tracked,-0.246905774,-0.002362394,1.220335603,0.374321151
00:05.0,ElbowRight,Tracked,0.126434416,-0.017346099,1.263507843,0.376126642
